frame_idx,arousal
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,-0.000963
49,-0.005900
50,-0.005954
51,-0.006446
52,-0.012204
53,-0.012304
54,-0.012304
55,-0.013172
56,-0.021317
57,-0.021830
58,-0.021490
59,-0.017917
60,-0.017847
61,-0.016591
62,-0.014346
63,-0.014099
64,-0.013045
65,-0.008512
66,-0.008476
67,-0.008212
68,-0.006656
69,-0.004755
70,-0.003409
71,0.000845
72,0.001079
73,0.003985
74,0.004408
75,0.004408
76,0.004581
77,0.006353
78,0.004461
79,0.004408
80,0.004408
81,0.004408
82,0.004408
83,0.004746
84,0.006567
85,0.004452
86,0.004736
87,0.009014
88,0.008952
89,0.010002
90,0.010031
91,0.014318
92,0.015953
93,0.018165
94,0.021811
95,0.024954
96,0.026822
97,0.028627
98,0.029562
99,0.028562
100,0.028985
101,0.031285
102,0.033884
103,0.034160
104,0.034160
105,0.034160
106,0.034160
107,0.034205
108,0.035224
109,0.037387
110,0.037909
111,0.037909
112,0.037909
113,0.038504
114,0.039271
115,0.037909
116,0.037909
117,0.039237
118,0.043431
119,0.043531
120,0.043531
121,0.047617
122,0.047775
123,0.047279
124,0.047279
125,0.051403
126,0.056701
127,0.056805
128,0.053148
129,0.052166
130,0.056357
131,0.061898
132,0.062427
133,0.062427
134,0.062427
135,0.062427
136,0.062427
137,0.062427
138,0.062774
139,0.065137
140,0.066162
141,0.068472
142,0.072193
143,0.072292
144,0.072292
145,0.072292
146,0.072292
147,0.072292
148,0.072630
149,0.075594
150,0.078183
151,0.078245
152,0.078245
153,0.078245
154,0.078245
155,0.078245
156,0.078245
157,0.078245
158,0.078245
159,0.078245
160,0.078245
161,0.078245
162,0.078245
163,0.078245
164,0.078245
165,0.078245
166,0.078245
167,0.078245
168,0.078245
169,0.078245
170,0.078245
171,0.078245
172,0.078245
173,0.078245
174,0.078245
175,0.078330
176,0.080954
177,0.086045
178,0.095149
179,0.105856
180,0.113048
181,0.124903
182,0.132134
183,0.140658
184,0.142408
185,0.144589
186,0.149288
187,0.151300
188,0.166696
189,0.179180
190,0.191302
191,0.193097
192,0.198121
193,0.209932
194,0.210211
195,0.212320
196,0.215960
197,0.216044
198,0.216044
199,0.221244
200,0.239147
201,0.255588
202,0.273851
203,0.288648
204,0.310031
205,0.319618
206,0.334323
207,0.343965
208,0.344430
209,0.348405
210,0.347942
211,0.347910
212,0.351765
213,0.348493
214,0.347910
215,0.347910
216,0.351098
217,0.357316
218,0.357436
219,0.357436
220,0.357301
221,0.352895
222,0.350010
223,0.349968
224,0.349968
225,0.349968
226,0.341905
227,0.346229
228,0.339059
229,0.338766
230,0.339900
231,0.345982
232,0.342421
233,0.337701
234,0.337649
235,0.337649
236,0.337649
237,0.337649
238,0.337649
239,0.337649
240,0.337649
241,0.337649
242,0.337649
243,0.339643
244,0.340516
245,0.337675
246,0.337649
247,0.337649
248,0.337649
249,0.337649
250,0.337649
251,0.337649
252,0.337649
253,0.337649
254,0.337649
255,0.338426
256,0.338684
257,0.337652
258,0.337649
259,0.337649
260,0.337649
261,0.339512
262,0.346894
263,0.347175
264,0.347175
265,0.347175
266,0.347175
267,0.347219
268,0.352340
269,0.353128
270,0.353128
271,0.353128
272,0.353128
273,0.353128
274,0.353128
275,0.353128
276,0.353128
277,0.353128
278,0.353128
279,0.353243
280,0.358388
281,0.362596
282,0.363084
283,0.365340
284,0.382299
285,0.392317
286,0.395619
287,0.409515
288,0.426258
289,0.445380
290,0.457395
291,0.472940
292,0.475904
293,0.480652
294,0.482567
295,0.494517
296,0.501804
297,0.505466
298,0.514903
299,0.532310
300,0.536404
301,0.541749
302,0.557079
303,0.554945
304,0.554748
305,0.562540
306,0.568249
307,0.565114
308,0.564745
309,0.562080
310,0.565414
311,0.566689
312,0.585459
313,0.585616
314,0.585536
315,0.585709
316,0.588679
317,0.592736
318,0.593004
319,0.592912
320,0.590227
321,0.592640
322,0.598394
323,0.603058
324,0.603127
325,0.603127
326,0.604283
327,0.612599
328,0.617014
329,0.623126
330,0.623375
331,0.623375
332,0.623375
333,0.623375
334,0.623375
335,0.623375
336,0.623375
337,0.624033
338,0.624550
339,0.623375
340,0.623375
341,0.623375
342,0.623375
343,0.623375
344,0.623375
345,0.623375
346,0.623375
347,0.623375
348,0.623375
349,0.623375
350,0.628378
351,0.635027
352,0.633597
353,0.633499
354,0.637557
355,0.637046
356,0.644688
357,0.641331
358,0.640584
359,0.640584
360,0.638980
361,0.631066
362,0.630874
363,0.631628
364,0.634591
365,0.635291
366,0.634694
367,0.634694
368,0.634694
369,0.634694
370,0.634694
371,0.633025
372,0.629425
373,0.634255
374,0.634085
375,0.627488
376,0.628547
377,0.623775
378,0.623870
379,0.627265
380,0.628216
381,0.627846
382,0.629557
383,0.633656
384,0.630802
385,0.625933
386,0.622792
387,0.619076
388,0.600437
389,0.586731
390,0.578002
391,0.569121
392,0.562473
393,0.551842
394,0.540388
395,0.535461
396,0.528995
397,0.528583
398,0.528583
399,0.525271
400,0.518886
401,0.518460
402,0.521055
403,0.520214
404,0.518460
405,0.518460
406,0.518520
407,0.520186
408,0.517739
409,0.520293
410,0.520079
411,0.518460
412,0.518460
413,0.518460
414,0.516931
415,0.516217
416,0.518361
417,0.518460
418,0.516711
419,0.505917
420,0.499467
421,0.488261
422,0.476718
423,0.469781
424,0.467355
425,0.467208
426,0.462796
427,0.467514
428,0.467962
429,0.465490
430,0.465378
431,0.467162
432,0.465525
433,0.465246
434,0.468650
435,0.467921
436,0.467208
437,0.467208
438,0.465888
439,0.463110
440,0.466976
441,0.467252
442,0.468442
443,0.465025
444,0.465005
445,0.467208
446,0.467208
447,0.462320
448,0.467796
449,0.468754
450,0.467208
451,0.467208
452,0.468706
453,0.471265
454,0.468715
455,0.468642
456,0.467271
457,0.467208
458,0.467208
459,0.467208
460,0.467208
461,0.467208
462,0.467208
463,0.467208
464,0.467208
465,0.467208
466,0.467208
467,0.471728
468,0.486109
469,0.483610
470,0.486180
471,0.492772
472,0.489315
473,0.489038
474,0.489038
475,0.490098
476,0.495078
477,0.496701
478,0.496604
479,0.501848
480,0.498671
481,0.498564
482,0.498564
483,0.498564
484,0.498564
485,0.507719
486,0.509765
487,0.509765
488,0.509765
489,0.516025
490,0.517233
491,0.517233
492,0.517233
493,0.517233
494,0.517233
495,0.517233
496,0.517233
497,0.517233
498,0.517233
499,0.517233
500,0.517233
501,0.517233
502,0.517233
503,0.517233
504,0.517233
505,0.517233
506,0.517233
507,0.518093
508,0.524582
509,0.524700
510,0.524700
511,0.517507
512,0.509692
513,0.509221
514,0.509221
515,0.509221
516,0.501078
517,0.498773
518,0.495376
519,0.493353
520,0.493345
521,0.493345
522,0.493345
523,0.493345
524,0.493345
525,0.493345
526,0.493345
527,0.493345
528,0.493345
529,0.493364
530,0.495582
531,0.493785
532,0.493365
533,0.495510
534,0.493804
535,0.493345
536,0.493345
537,0.495106
538,0.496296
539,0.493845
540,0.496385
541,0.494898
542,0.488632
543,0.492932
544,0.485646
545,0.483835
546,0.485125
547,0.484891
548,0.494820
549,0.498881
550,0.497334
551,0.496369
552,0.501146
553,0.495334
554,0.495021
555,0.495266
556,0.497704
557,0.497277
558,0.498936
559,0.497909
560,0.501287
561,0.499288
562,0.500683
563,0.498391
564,0.495021
565,0.495021
566,0.495021
567,0.495021
568,0.497677
569,0.505182
570,0.498280
571,0.497328
572,0.501929
573,0.505676
574,0.506071
575,0.504590
576,0.505925
577,0.512567
578,0.518156
579,0.518365
580,0.518365
581,0.518365
582,0.518365
583,0.518365
584,0.518365
585,0.518365
586,0.518365
587,0.518365
588,0.518365
589,0.518365
590,0.518365
591,0.519225
592,0.520044
593,0.518443
594,0.518365
595,0.518365
596,0.518365
597,0.518365
598,0.518365
599,0.518365
600,0.518365
601,0.518511
602,0.519130
603,0.518365
604,0.518552
605,0.520301
606,0.518690
607,0.518365
608,0.518365
609,0.518365
610,0.518365
611,0.518365
612,0.518365
613,0.518365
614,0.518365
615,0.518365
616,0.518365
617,0.518365
618,0.518365
619,0.518520
620,0.519111
621,0.518365
622,0.518365
623,0.518365
624,0.518365
625,0.518365
626,0.518365
627,0.518365
628,0.518365
629,0.518365
630,0.518365
631,0.518365
632,0.518365
633,0.518365
634,0.518448
635,0.511636
636,0.515002
637,0.520324
638,0.531228
639,0.536776
640,0.537038
641,0.535761
642,0.535761
643,0.535761
644,0.532562
645,0.522862
646,0.520767
647,0.519984
648,0.520926
649,0.521165
650,0.522478
651,0.521057
652,0.515942
653,0.517758
654,0.514512
655,0.513535
656,0.513535
657,0.513535
658,0.513535
659,0.516079
660,0.526621
661,0.531506
662,0.535124
663,0.545247
664,0.555720
665,0.558781
666,0.570132
667,0.578075
668,0.587830
669,0.599264
670,0.600031
671,0.600031
672,0.600031
673,0.600364
674,0.600605
675,0.600031
676,0.600031
677,0.600031
678,0.600031
679,0.600031
680,0.600031
681,0.600509
682,0.600653
683,0.600043
684,0.600031
685,0.600031
686,0.600031
687,0.600031
688,0.600031
689,0.600031
690,0.600031
691,0.605795
692,0.610155
693,0.610155
694,0.610428
695,0.611048
696,0.610226
697,0.610155
698,0.610155
699,0.610155
700,0.610155
701,0.610155
702,0.610155
703,0.610155
704,0.612567
705,0.623954
706,0.626031
707,0.626031
708,0.626031
709,0.626516
710,0.628408
711,0.626672
712,0.626031
713,0.631924
714,0.640275
715,0.641907
716,0.641907
717,0.645372
718,0.647824
719,0.648447
720,0.650629
721,0.648852
722,0.647861
723,0.647861
724,0.647861
725,0.648266
726,0.649435
727,0.647943
728,0.649286
729,0.651394
730,0.648370
731,0.647861
732,0.647861
733,0.648285
734,0.651942
735,0.655994
736,0.663022
737,0.666323
738,0.669489
739,0.673026
740,0.673494
741,0.673531
742,0.673531
743,0.673589
744,0.676232
745,0.681622
746,0.682319
747,0.680998
748,0.681542
749,0.681522
750,0.681399
751,0.682379
752,0.681038
753,0.683401
754,0.686134
755,0.687683
756,0.692251
757,0.695078
758,0.698293
759,0.699381
760,0.702652
761,0.700080
762,0.699505
763,0.699505
764,0.701286
765,0.699743
766,0.701049
767,0.701874
768,0.699528
769,0.699505
770,0.699505
771,0.700443
772,0.699612
773,0.699505
774,0.699505
775,0.699505
776,0.699505
777,0.696725
778,0.693920
779,0.695495
780,0.693571
781,0.692918
782,0.689371
783,0.684046
784,0.684026
785,0.680121
786,0.678300
787,0.679613
788,0.677676
789,0.677676
790,0.677676
791,0.677676
792,0.677614
793,0.669491
794,0.663349
795,0.662740
796,0.662740
797,0.662740
798,0.662740
799,0.662740
800,0.662740
801,0.662740
802,0.662740
803,0.662740
804,0.662740
805,0.659429
806,0.653617
807,0.656351
808,0.652243
809,0.642480
810,0.642480
811,0.642480
812,0.643625
813,0.646232
814,0.645078
815,0.649289
816,0.641350
817,0.638203
818,0.636130
819,0.636130
820,0.636130
821,0.636130
822,0.636130
823,0.636130
824,0.636130
825,0.636130
826,0.636130
827,0.634467
828,0.629593
829,0.628662
830,0.628662
831,0.628662
832,0.628662
833,0.628662
834,0.628767
835,0.630528
836,0.629266
837,0.628662
838,0.628662
839,0.628662
840,0.628662
841,0.628467
842,0.623542
843,0.618086
844,0.617482
845,0.616774
846,0.611581
847,0.609993
848,0.609993
849,0.609993
850,0.609993
851,0.608235
852,0.603130
853,0.602525
854,0.602525
855,0.602525
856,0.602525
857,0.602525
858,0.602525
859,0.602591
860,0.603416
861,0.602781
862,0.602525
863,0.602525
864,0.602525
865,0.602525
866,0.602525
867,0.602525
868,0.602525
869,0.602525
870,0.602525
871,0.602525
872,0.602525
873,0.602525
874,0.602525
875,0.602525
876,0.602525
877,0.601747
878,0.594620
879,0.593000
880,0.594141
881,0.593449
882,0.593000
883,0.594035
884,0.594048
885,0.593000
886,0.593028
887,0.594203
888,0.593481
889,0.593000
890,0.593499
891,0.593758
892,0.593000
893,0.593311
894,0.593838
895,0.593046
896,0.593000
897,0.593000
898,0.593459
899,0.593405
900,0.593953
901,0.592071
902,0.583642
903,0.581798
904,0.581798
905,0.581798
906,0.581798
907,0.581798
908,0.581903
909,0.587094
910,0.603683
911,0.617675
912,0.629374
913,0.637132
914,0.642186
915,0.650584
916,0.659077
917,0.668818
918,0.670494
919,0.673666
920,0.676429
921,0.677527
922,0.682925
923,0.689332
924,0.696207
925,0.703158
926,0.705146
927,0.709102
928,0.712970
929,0.717640
930,0.722046
931,0.728119
932,0.730835
933,0.738502
934,0.739966
935,0.738952
936,0.749115
937,0.754766
938,0.758133
939,0.760640
940,0.762472
941,0.762472
942,0.762472
943,0.763340
944,0.766514
945,0.768426
946,0.769542
947,0.773529
948,0.774048
949,0.776387
950,0.777883
951,0.777562
952,0.780307
953,0.778851
954,0.779154
955,0.782823
956,0.783185
957,0.783185
958,0.783185
959,0.785149
960,0.787680
961,0.783750
962,0.783185
963,0.783185
964,0.782383
965,0.777110
966,0.768561
967,0.759641
968,0.759203
969,0.762101
970,0.762671
971,0.762671
972,0.762046
973,0.752242
974,0.744173
975,0.743231
976,0.741886
977,0.735431
978,0.729039
979,0.727816
980,0.727751
981,0.727751
982,0.727751
983,0.727751
984,0.727751
985,0.727751
986,0.727751
987,0.727751
988,0.727751
989,0.728369
990,0.724352
991,0.724892
992,0.719693
993,0.718252
994,0.718225
995,0.718225
996,0.718702
997,0.717514
998,0.717413
999,0.718225
1000,0.718225
1001,0.713756
1002,0.710742
1003,0.709486
1004,0.715738
1005,0.712980
1006,0.714313
1007,0.722803
1008,0.720952
1009,0.724000
1010,0.731048
1011,0.737345
1012,0.739229
1013,0.737518
1014,0.731249
1015,0.734947
1016,0.739801
1017,0.748303
1018,0.757807
1019,0.766729
1020,0.770476
1021,0.772013
1022,0.776958
1023,0.778006
1024,0.778006
1025,0.778006
1026,0.778006
1027,0.779161
1028,0.781027
1029,0.787982
1030,0.798817
1031,0.804143
1032,0.804143
1033,0.806600
1034,0.823975
1035,0.835430
1036,0.846745
1037,0.849609
1038,0.856429
1039,0.858732
1040,0.865537
1041,0.867902
1042,0.867902
1043,0.867902
1044,0.871381
1045,0.876877
1046,0.876805
1047,0.875370
1048,0.877159
1049,0.890127
1050,0.892961
1051,0.892978
1052,0.897085
1053,0.894660
1054,0.892961
1055,0.892961
1056,0.892961
1057,0.892961
1058,0.892961
1059,0.892966
1060,0.893620
1061,0.893569
1062,0.899003
1063,0.912497
1064,0.914631
1065,0.912610
1066,0.913669
1067,0.918401
1068,0.920133
