frame_idx,valence
1,0.000000
2,-0.000025
3,-0.004886
4,-0.001608
5,-0.001364
6,-0.003954
7,-0.000076
8,0.000000
9,0.000000
10,-0.000277
11,-0.003745
12,-0.003148
13,-0.005132
14,-0.004339
15,-0.000193
16,-0.003609
17,-0.001868
18,-0.000838
19,-0.002098
20,0.000000
21,-0.000719
22,-0.005025
23,-0.004688
24,-0.000926
25,-0.005016
26,-0.004966
27,-0.004635
28,-0.004303
29,-0.003970
30,-0.003638
31,-0.003306
32,-0.002973
33,-0.002641
34,-0.002309
35,-0.001976
36,-0.001644
37,-0.001312
38,-0.000979
39,-0.000647
40,-0.000315
41,-0.000031
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,-0.000841
54,-0.004926
55,-0.010677
56,-0.016802
57,-0.016862
58,-0.022619
59,-0.028533
60,-0.028592
61,-0.028592
62,-0.036244
63,-0.031627
64,-0.028592
65,-0.028592
66,-0.028592
67,-0.028592
68,-0.058131
69,-0.081985
70,-0.092392
71,-0.098017
72,-0.099405
73,-0.101167
74,-0.105144
75,-0.116727
76,-0.127395
77,-0.165422
78,-0.200914
79,-0.246690
80,-0.268908
81,-0.313864
82,-0.336225
83,-0.371768
84,-0.411423
85,-0.433332
86,-0.464316
87,-0.487495
88,-0.505757
89,-0.527573
90,-0.539881
91,-0.543200
92,-0.543230
93,-0.541480
94,-0.541213
95,-0.541213
96,-0.539890
97,-0.533225
98,-0.536999
99,-0.535979
100,-0.533600
101,-0.532839
102,-0.532084
103,-0.536187
104,-0.542644
105,-0.534044
106,-0.542956
107,-0.540761
108,-0.537996
109,-0.528835
110,-0.519419
111,-0.492282
112,-0.424709
113,-0.298160
114,-0.226697
115,-0.154279
116,-0.107019
117,-0.097293
118,-0.044094
119,0.016720
120,0.058899
121,0.107832
122,0.173659
123,0.247094
124,0.266599
125,0.277272
126,0.276447
127,0.286893
128,0.291464
129,0.278305
130,0.258250
131,0.214964
132,0.186262
133,0.150191
134,0.135598
135,0.120638
136,0.110201
137,0.103181
138,0.087738
139,0.075659
140,0.066332
141,0.048801
142,0.017422
143,-0.000201
144,-0.004656
145,-0.002223
146,0.005741
147,0.014664
148,0.020709
149,0.025571
150,0.015950
151,0.007545
152,-0.001848
153,-0.027109
154,-0.062484
155,-0.096633
156,-0.134391
157,-0.156534
158,-0.166563
159,-0.177709
160,-0.183925
161,-0.183736
162,-0.183459
163,-0.183450
164,-0.183260
165,-0.182166
166,-0.181324
167,-0.209651
168,-0.236761
169,-0.255311
170,-0.265670
171,-0.267956
172,-0.272012
173,-0.268751
