frame_idx,arousal
1,-0.000910
2,-0.000189
3,0.003361
4,0.004091
5,0.004091
6,0.004091
7,0.004091
8,0.004091
9,0.002314
10,-0.000847
11,-0.000910
12,-0.001624
13,-0.002340
14,-0.002340
15,-0.004933
16,-0.008024
17,-0.008056
18,-0.008056
19,-0.008056
20,-0.009534
21,-0.013604
22,-0.013772
23,-0.013772
24,-0.013910
25,-0.014061
26,-0.014062
27,-0.014062
28,-0.014062
29,-0.014062
30,-0.014062
31,-0.014686
32,-0.014305
33,-0.015702
34,-0.015802
35,-0.015802
36,-0.015802
37,-0.015802
38,-0.015802
39,-0.015802
40,-0.015802
41,-0.015802
42,-0.016106
43,-0.016837
44,-0.015535
45,-0.007452
46,-0.006524
47,-0.007142
48,-0.007165
49,-0.006807
50,-0.006928
51,-0.006928
52,-0.006928
53,-0.006928
54,-0.006928
55,-0.006928
56,-0.006928
57,-0.006843
58,-0.005948
59,-0.005840
60,-0.005840
61,-0.005840
62,-0.005840
63,-0.005840
64,-0.005840
65,-0.005840
66,-0.005840
67,-0.005840
68,-0.005840
69,-0.005840
70,-0.005840
71,-0.005840
72,-0.005840
73,-0.005840
74,-0.005840
75,-0.005840
76,-0.005840
77,-0.005840
78,-0.005840
79,-0.005840
80,-0.005840
81,-0.005840
82,-0.005840
83,-0.005840
84,-0.005840
85,-0.005840
86,-0.005840
87,-0.005840
88,-0.005840
89,-0.005840
90,-0.005840
91,-0.005840
92,-0.005081
93,-0.003971
94,-0.005798
95,-0.005117
96,0.000221
97,0.004558
98,0.001503
99,0.001163
100,-0.000978
101,-0.007064
102,-0.013647
103,-0.022220
104,-0.026344
105,-0.032871
106,-0.034850
107,-0.038151
108,-0.039581
109,-0.039581
110,-0.040353
111,-0.039751
112,-0.040285
113,-0.044590
114,-0.045297
115,-0.044843
116,-0.044387
117,-0.042977
118,-0.026530
119,-0.011394
120,-0.005277
121,0.002279
122,0.012769
123,0.036069
124,0.047995
125,0.051922
126,0.055450
127,0.060240
128,0.063385
129,0.064498
130,0.068430
131,0.069228
132,0.069230
133,0.068630
134,0.068418
135,0.068898
136,0.085689
137,0.110728
138,0.113289
139,0.113289
140,0.115512
141,0.119315
142,0.124019
143,0.125435
144,0.125498
145,0.125832
146,0.126150
147,0.125933
148,0.125933
149,0.126150
150,0.125734
151,0.126427
152,0.137390
153,0.150934
154,0.159902
155,0.166987
156,0.173751
157,0.187063
158,0.195198
159,0.195187
160,0.199760
161,0.219324
162,0.222814
163,0.221954
164,0.225425
165,0.228313
166,0.228865
167,0.235528
168,0.228257
169,0.228531
170,0.232435
171,0.244771
172,0.250090
173,0.251712
174,0.255229
175,0.261446
176,0.270381
177,0.273306
178,0.277483
179,0.280373
180,0.282174
181,0.282622
182,0.285246
183,0.287865
184,0.287337
185,0.287772
186,0.289685
187,0.291507
188,0.291344
189,0.290222
190,0.291478
191,0.291377
192,0.289988
193,0.290225
194,0.290202
195,0.290884
196,0.291173
197,0.289767
198,0.289803
199,0.290131
200,0.289802
201,0.289767
202,0.289767
203,0.291745
204,0.290419
205,0.290992
206,0.297984
207,0.297984
208,0.302890
209,0.303998
210,0.309058
211,0.312275
212,0.312462
213,0.315847
214,0.320134
215,0.319056
216,0.317991
217,0.317991
218,0.313554
219,0.308912
220,0.305515
221,0.298909
222,0.289440
223,0.285416
224,0.283099
225,0.274988
226,0.268077
227,0.267688
228,0.263714
229,0.256629
230,0.252539
231,0.239344
232,0.229369
233,0.225235
234,0.220606
235,0.215306
236,0.210986
237,0.210698
238,0.205685
239,0.205333
240,0.205705
241,0.205303
242,0.205270
243,0.205270
244,0.205270
245,0.205275
246,0.205688
247,0.205705
248,0.205698
249,0.205292
250,0.205705
251,0.205705
