Category;Folder;Audio;Video;Arousal_V_Aligned;Arousal_A_Aligned;Arousal_AV_Aligned;Valence_A_Aligned;Valence_V_Aligned;Valence_AV_Aligned;Translated_Text
C3;SSD_C3_S080_P160_VC1_006141_007751;SEWA/SEWAv02/SSD_C3_S080_P160_VC1_006141_007751/SSD_C3_S080_VC1_006141_007751.wav;SSD_C3_S080_P160_VC1_006141_007751.avi;SSD_C3_S080_P160_VC1_006141_007751_Arousal_V_Aligned.csv;SSD_C3_S080_P160_VC1_006141_007751_Arousal_A_Aligned.csv;SSD_C3_S080_P160_VC1_006141_007751_Arousal_AV_Aligned.csv;SSD_C3_S080_P160_VC1_006141_007751_Valence_A_Aligned.csv;SSD_C3_S080_P160_VC1_006141_007751_Valence_V_Aligned.csv;SSD_C3_S080_P160_VC1_006141_007751_Valence_AV_Aligned.csv; Magic, yes. No. Yes, but I mean, I think they have reached the goal that we in any case feel something, that we are annoyed by the length or something. So we have a bit of a memory or something like that we have here that in memory so but when you do it not out yes i would normally not have I wouldn't have given it to me normally for so long, I think. No, I think I also looked away in between. You can see that on the recording, which you will later remove.
C6;SAL_C6_S185_P370_VC1_006763_007716;SEWA/SEWAv02/SAL_C6_S185_P370_VC1_006763_007716/SAL_C6_S185_VC1_006763_007716.wav;SAL_C6_S185_P370_VC1_006763_007716.avi;SAL_C6_S185_P370_VC1_006763_007716_Arousal_V_Aligned.csv;SAL_C6_S185_P370_VC1_006763_007716_Arousal_A_Aligned.csv;SAL_C6_S185_P370_VC1_006763_007716_Arousal_AV_Aligned.csv;SAL_C6_S185_P370_VC1_006763_007716_Valence_A_Aligned.csv;SAL_C6_S185_P370_VC1_006763_007716_Valence_V_Aligned.csv;SAL_C6_S185_P370_VC1_006763_007716_Valence_AV_Aligned.csv; Let's look for it here. You can look for it. And it's very convenient for the kids. Yes, you say the kid can reach up there. How far will it reach? It reaches the fountain, how far be after we reach the top? No, it will be very close.
C2;SSD_C2_S195_P389_VC1_003001_006450;SEWA/SEWAv02/SSD_C2_S195_P389_VC1_003001_006450/SSD_C2_S195_VC1_003001_006450.wav;SSD_C2_S195_P389_VC1_003001_006450.avi;SSD_C2_S195_P389_VC1_003001_006450_Arousal_V_Aligned.csv;SSD_C2_S195_P389_VC1_003001_006450_Arousal_A_Aligned.csv;SSD_C2_S195_P389_VC1_003001_006450_Arousal_AV_Aligned.csv;SSD_C2_S195_P389_VC1_003001_006450_Valence_A_Aligned.csv;SSD_C2_S195_P389_VC1_003001_006450_Valence_V_Aligned.csv;SSD_C2_S195_P389_VC1_003001_006450_Valence_AV_Aligned.csv;I think we have been facing the same problem for a long time. And it's true that we have had a lot of hard and tough times. I don't know what else, but he was talking about the same thing, and we have to touch it. I don't understand how we can set the temperature of the water, which we used to do in the past. The video itself was very repetitive. I can explain this in 10 seconds. We are used to sensor groups, so this is in the cars, obviously in the toilet. There is a time limit on it, and it won't turn it off. But I think that I should stop going to the store to buy myself a pair of shoes.
C3;SSL_C3_S077_P154_VC1_006701_007121;SEWA/SEWAv02/SSL_C3_S077_P154_VC1_006701_007121/SSL_C3_S077_VC1_006701_007121.wav;SSL_C3_S077_P154_VC1_006701_007121.avi;SSL_C3_S077_P154_VC1_006701_007121_Arousal_V_Aligned.csv;SSL_C3_S077_P154_VC1_006701_007121_Arousal_A_Aligned.csv;SSL_C3_S077_P154_VC1_006701_007121_Arousal_AV_Aligned.csv;SSL_C3_S077_P154_VC1_006701_007121_Valence_A_Aligned.csv;SSL_C3_S077_P154_VC1_006701_007121_Valence_V_Aligned.csv;SSL_C3_S077_P154_VC1_006701_007121_Valence_AV_Aligned.csv; Yes, I also liked the smart advertising spot the best, because I actually like the advertising spot very much. I always see myself hanging on the mountain with my own helicopter and I keep going.
C1;SSD_C1_S025_P050_VC1_004701_005301;SEWA/SEWAv02/SSD_C1_S025_P050_VC1_004701_005301/SSD_C1_S025_VC1_004701_005301.wav;SSD_C1_S025_P050_VC1_004701_005301.avi;SSD_C1_S025_P050_VC1_004701_005301_Arousal_V_Aligned.csv;SSD_C1_S025_P050_VC1_004701_005301_Arousal_A_Aligned.csv;SSD_C1_S025_P050_VC1_004701_005301_Arousal_AV_Aligned.csv;SSD_C1_S025_P050_VC1_004701_005301_Valence_A_Aligned.csv;SSD_C1_S025_P050_VC1_004701_005301_Valence_V_Aligned.csv;SSD_C1_S025_P050_VC1_004701_005301_Valence_AV_Aligned.csv;I think if I were to watch the ad for a minute, I wouldn't watch it. I'd watch it for 10 seconds, 5-6 seconds. 90 seconds? Yes, it should be a lot of scenes, I think it's already impressive enough.
C4;SAH_C4_S098_P196_VC1_001501_002350;SEWA/SEWAv02/SAH_C4_S098_P196_VC1_001501_002350/SAH_C4_S098_VC1_001501_002350.wav;SAH_C4_S098_P196_VC1_001501_002350.avi;SAH_C4_S098_P196_VC1_001501_002350_Arousal_V_Aligned.csv;SAH_C4_S098_P196_VC1_001501_002350_Arousal_A_Aligned.csv;SAH_C4_S098_P196_VC1_001501_002350_Arousal_AV_Aligned.csv;SAH_C4_S098_P196_VC1_001501_002350_Valence_A_Aligned.csv;SAH_C4_S098_P196_VC1_001501_002350_Valence_V_Aligned.csv;SAH_C4_S098_P196_VC1_001501_002350_Valence_AV_Aligned.csv; Do you know one of the first things that came to my mind? Because at first, well, the first thing was kind of, you know, the more things you have on a product like that, on an everyday item that you use every day, the more chances it's got of breaking. You know, the more complicated it's
C5;SSD_C5_S154_P307_VC1_000751_001201;SEWA/SEWAv02/SSD_C5_S154_P307_VC1_000751_001201/SSD_C5_S154_VC1_000751_001201.wav;SSD_C5_S154_P307_VC1_000751_001201.avi;SSD_C5_S154_P307_VC1_000751_001201_Arousal_V_Aligned.csv;SSD_C5_S154_P307_VC1_000751_001201_Arousal_A_Aligned.csv;SSD_C5_S154_P307_VC1_000751_001201_Arousal_AV_Aligned.csv;SSD_C5_S154_P307_VC1_000751_001201_Valence_A_Aligned.csv;SSD_C5_S154_P307_VC1_000751_001201_Valence_V_Aligned.csv;SSD_C5_S154_P307_VC1_000751_001201_Valence_AV_Aligned.csv; I would have been more concerned about it.
C3;SSL_C3_S083_P165_VC1_000251_001301;SEWA/SEWAv02/SSL_C3_S083_P165_VC1_000251_001301/SSL_C3_S083_VC1_000251_001301.wav;SSL_C3_S083_P165_VC1_000251_001301.avi;SSL_C3_S083_P165_VC1_000251_001301_Arousal_V_Aligned.csv;SSL_C3_S083_P165_VC1_000251_001301_Arousal_A_Aligned.csv;SSL_C3_S083_P165_VC1_000251_001301_Arousal_AV_Aligned.csv;SSL_C3_S083_P165_VC1_000251_001301_Valence_A_Aligned.csv;SSL_C3_S083_P165_VC1_000251_001301_Valence_V_Aligned.csv;SSL_C3_S083_P165_VC1_000251_001301_Valence_AV_Aligned.csv; what do you think of the last video spot it was about water hyenas and the contact that you can touch them more interesting in any case I Yes, definitely interesting. So I thought the motion sensor would work better than I have to run with my wrist every time.
C6;SSD_C6_S174_P348_VC1_003001_005865;SEWA/SEWAv02/SSD_C6_S174_P348_VC1_003001_005865/SSD_C6_S174_VC1_003001_005865.wav;SSD_C6_S174_P348_VC1_003001_005865.avi;SSD_C6_S174_P348_VC1_003001_005865_Arousal_V_Aligned.csv;SSD_C6_S174_P348_VC1_003001_005865_Arousal_A_Aligned.csv;SSD_C6_S174_P348_VC1_003001_005865_Arousal_AV_Aligned.csv;SSD_C6_S174_P348_VC1_003001_005865_Valence_A_Aligned.csv;SSD_C6_S174_P348_VC1_003001_005865_Valence_V_Aligned.csv;SSD_C6_S174_P348_VC1_003001_005865_Valence_AV_Aligned.csv; But it's a lot of repeat. Yes, but you can see that there were different things that you see every day, that you want to wash your hands and open them in the shower. You want to wash your hands and all that. Yes, yes. It wasn't like the second or first advertisement had something to keep you from the game. It was something normal, but it was important to keep you from the game. Yes, yes, yes. I just got bored. I mean, I was watching it and I was bored. I was like, how many times would I have to open and close it? It was a bit... I think if you finally sit down and see it all, it makes sense. But it's very difficult to choose. Yes, yes. Yes, to go and get the ticket.
C4;SVL_C4_S097_P194_VC1_006101_007000;SEWA/SEWAv02/SVL_C4_S097_P194_VC1_006101_007000/SVL_C4_S097_VC1_006101_007000.wav;SVL_C4_S097_P194_VC1_006101_007000.avi;SVL_C4_S097_P194_VC1_006101_007000_Arousal_V_Aligned.csv;SVL_C4_S097_P194_VC1_006101_007000_Arousal_A_Aligned.csv;SVL_C4_S097_P194_VC1_006101_007000_Arousal_AV_Aligned.csv;SVL_C4_S097_P194_VC1_006101_007000_Valence_A_Aligned.csv;SVL_C4_S097_P194_VC1_006101_007000_Valence_V_Aligned.csv;SVL_C4_S097_P194_VC1_006101_007000_Valence_AV_Aligned.csv; But that's something they should include in the advert. Things like the price. Where can you get this thing? Is there like a website? Like I couldn't at the end. Like I guess it was advertising the tap. But it was like it said something water and i was like so are you trying to advertise water then
